sub_region,census_fips_code,place_id,date,user_id,place,percent_change_from_baseline
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,retail and recreation,6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,grocery and pharmacy,7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,parks,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,transit stations,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,workplaces,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-24,010,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,retail and recreation,-5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,grocery and pharmacy,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,parks,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,transit stations,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,workplaces,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-25,011,residential,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,retail and recreation,18
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,grocery and pharmacy,9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,parks,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,transit stations,7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,workplaces,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-26,012,residential,-1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,retail and recreation,18
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,grocery and pharmacy,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,parks,20
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,transit stations,7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,workplaces,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-27,013,residential,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,retail and recreation,15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,grocery and pharmacy,14
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,parks,4
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,transit stations,8
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,workplaces,-5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-28,014,residential,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-29,015,retail and recreation,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-29,015,grocery and pharmacy,9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-29,015,parks,6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-29,015,transit stations,9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-29,015,workplaces,-6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-01,016,retail and recreation,22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-01,016,grocery and pharmacy,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-01,016,parks,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-01,016,transit stations,29
